"DrExp","Comm","Mil","DrLike","Trait_Anxiety","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness"
"> 4 Yr","No-Commute","< 50 Mi","Yes",45,8,9,9,8,6
"> 4 Yr","Commute","> 50 Mi","Yes",38,4,3,7,3,10
"1-4 Yr","Commute","< 50 Mi","Yes",47,7,6,6,7,3
"> 4 Yr","Commute","> 50 Mi","Yes",45,3,7,7,4,6
"> 4 Yr","Commute","> 50 Mi","Yes",32,8,8,7,4,7
"> 4 Yr","Commute","< 50 Mi","Yes",36,4,6,5,5,7
"> 4 Yr","Commute","> 50 Mi","Yes",32,9,7,9,4,7
"> 4 Yr","Commute","> 50 Mi","Yes",41,7,7,8,4,5
"> 4 Yr","No-Commute","< 50 Mi","Yes",46,8,6,9,4,6
"> 4 Yr","Commute","> 50 Mi","No",56,7,9,10,10,3
"> 4 Yr","Commute","> 50 Mi","Yes",37,9,8,6,6,8
"> 4 Yr","Commute","> 50 Mi","Yes",50,6,7,6,5,8
"> 4 Yr","Commute","> 50 Mi","Yes",38,3,8,6,4,6
"> 4 Yr","Commute","> 50 Mi","Yes",40,4,6,8,5,3
"> 4 Yr","Commute","< 50 Mi","Yes",45,4,8,8,6,6
"> 4 Yr","Commute","> 50 Mi","Yes",29,7,9,6,4,6
"> 4 Yr","Commute","> 50 Mi","Yes",27,4,8,9,3,7
"> 4 Yr","Commute","< 50 Mi","No",55,5,3,7,8,7
"> 4 Yr","Commute","> 50 Mi","Yes",40,6,9,8,4,6
"> 4 Yr","Commute","> 50 Mi","Yes",25,9,10,8,2,10
"> 4 Yr","Commute","< 50 Mi","Yes",20,3,10,10,5,6
