"","lat","long","PID"
"8",29.47,-98.5,"P12"
"14",33.14,-96.11,"P18"
"16",30.63,-96.36,"P20"
"18",30.68,-96.33,"P22"
"19",30.68,-96.29,"P23"
"20",30.64,-96.32,"P24"
"23",30.63,-96.4,"P27"
"25",27.99,-97.15,"P29"
"28",29.69,-95.39,"P32"
"29",32.94,-96.82,"P33"
"31",29.86,-95.37,"P36"
"32",32.28,-97.2,"P35"
"33",33.04,-96.71,"P37"
"35",29.49,-98.75,"P39"
"38",27.7,-97.33,"P42"
"40",30.81,-97.59,"P46"
"41",32.82,-96.63,"P45"
"42",30.59,-96.31,"P47"
"43",33.59,-96.69,"P48"
"45",32.26,-101.45,"P52"
"46",25.93,-97.48,"P54"
