"","PID","city","county","state","lon","lat"
"1","P12","San Antonio","Bexar","Texas",-98.4945922,29.4251905
"2","P18","Greenville","Hunt","Texas",-96.087887,33.117603
"3","P20","Bryan","Brazos","Texas",-96.3699632,30.6743643
"4","P22","Bryan","Brazos","Texas",-96.3699632,30.6743643
"5","P23","Bryan","Brazos","Texas",-96.3699632,30.6743643
"6","P24","College Station","Brazos","Texas",-96.3344068,30.627977
"7","P27","Bryan","Brazos","Texas",-96.3699632,30.6743643
"8","P29","Aransas Pass","Aransas","Texas",-97.1505561,27.909532
"9","P32","Houston","Harris","Texas",-95.3698028,29.7604267
"10","P33","Dallas","Dallas","Texas",-96.7969879,32.7766642
"11","P36","Houston","Harris","Texas",-95.3698028,29.7604267
"12","P35","Grandview","Johnson","Texas",-97.176868,32.264537
"13","P37","Plano","Collin","Texas",-96.6988856,33.0198431
"14","P39","San Antonio","Bexar","Texas",-98.4945922,29.4251905
"15","P42","Corpus Christi","Nueces","Texas",-97.396381,27.8005828
"16","P46","Jarrell","Williamson","Texas",-97.6043608,30.824616
"17","P45","Mesquite","Dallas","Texas",-96.5991593,32.7667955
"18","P47","College Station","Brazos","Texas",-96.3344068,30.627977
"19","P48","Sherman","Grayson","Texas",-96.620402,33.631183
"20","P52","Big Spring","Howard","Texas",-101.4787355,32.2503979
"21","P54","Brownsville","Cameron","Texas",-97.4974838,25.9017472
